cluster_id,0% Greek Strained Yogurt,100% Whole Wheat Bread,2% Reduced Fat Milk,Apple Honeycrisp Organic,Baby Cucumbers,Bag of Organic Bananas,Banana,Blueberries,Cheez-It Baked Snack Crackers,Clementines,Coke Classic,Cola,Crunchy Oats 'n Honey Granola Bars,Cucumber Kirby,Diet Coke,Energy Drink,Extra Fancy Unsalted Mixed Nuts,Fat Free Milk,Fridge Pack Cola,Half & Half,Hass Avocados,Large Lemon,Limes,Michigan Organic Kale,Mineral Water,Mixed Fruit Fruit Snacks,Natural Spring Water,Organic Avocado,Organic Baby Spinach,Organic Blueberries,Organic Fuji Apple,Organic Garlic,Organic Half & Half,Organic Hass Avocado,Organic Raspberries,Organic Strawberries,Organic Whole Milk,Organic Whole String Cheese,Organic Yellow Onion,Organic Zucchini,Original Nooks & Crannies English Muffins,Original Rice Krispies Treats,Packaged Grape Tomatoes,Popcorn,Purified Water,Raspberries,Reduced Fat 2% Milk,"Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins",Select-A-Size White Paper Towels,Smartwater,Smartwater Electrolyte Enhanced Water,Soda,Sparkling Mineral Water,Sparkling Water,Sparkling Water Grapefruit,Spring Water,Strawberries,Trail Mix,Ultra Soft Facial Tissues,White Giant Paper Towel Rolls,Whole Milk,Zero Calorie Cola
0,0.0,0.0,0.0,0.0,0.0,0.006878827299552622,0.003176044695428352,0.0,0.0,0.09579070246515141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09022412970910824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08177550852342913,1.0,0.0,0.0,0.0,0.0,0.09366899302093719,0.25549278091650973,0.0,0.0,0.19423692636072573,0.017330001784758166,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.022847986800774184,0.03002190116128838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03287439868502405,0.0,0.0,0.0,0.0,0.0,0.024903639580437256,0.01752581353876084,0.0,0.0,0.0,0.0,0.01736556487419832,0.0,0.020426663135755065,0.03397684285566453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14079728583545378,0.0,0.051401035159735854,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.022568772408541424,0.020639273072108257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1263824117255163,0.03180371872785125,0.0,0.0,0.0,0.0,0.0,0.02416908884114748,0.02390442701490952,0.0,0.0,0.0,0.0,0.01858041440552541,0.0,0.017803942738120096,0.025456761449218705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053988934499375335,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.06664974458228892,0.05882205369171293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08533771658649134,0.09883370749603022,0.0,0.0,0.0,0.0,0.06642550233792494,0.06144935962298537,0.0,0.0,0.0,0.0,0.07858904785397139,0.11184566722708232,0.08690116672862737,0.09823964309942394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0633865607522088,0.10394443066236665,0.0,0.0,0.0028651204112066504,0.01157776166619419,0.0,0.0,0.0,0.504756242568371,0.0,0.0,0.0,0.0,0.7296015180265655,0.0,0.0,0.2050561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903788634097707,0.0,0.0,0.0,0.0,0.014063894342316616,0.0,0.0,0.0,0.13316700452206456,0.0
5,0.0,0.0,0.0,0.0,0.3369391025641026,0.012494844052416156,0.002709422015057362,0.0,0.0,0.07258119892879214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12764823451032645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836629406706793,0.0,0.0,0.0,0.0,0.0,0.006162119769200605,0.011003667889296432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15136292514205715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023344636801713368,0.0,0.0,0.0,0.0,0.0
6,0.0,0.162032909135122,0.15269163979161499,0.0,0.0,0.010172287971570899,0.030907480764358054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02533439898662404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1996035058430718,0.0,0.1508822126847878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09369087231682652,0.0,0.05097269320007139,0.0,0.0,0.0,0.24232028691719945,0.0
7,0.0,0.0,0.0,0.0,0.0,0.02794999524066377,0.023802774147096528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08316619667335214,0.10195477194327328,0.0,0.0,0.0,0.0,0.04716921521546822,0.055361445446363185,0.0,0.0,0.14771824634227587,0.0,0.04530093734583128,0.0,0.027841577502660916,0.0,0.0,0.0,0.3235239681658338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.03914712694736174,0.03459530517374169,0.0,0.0,0.0,0.0,0.0,0.0,0.6515977028419968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08918311643267535,0.0883571519830623,0.0,0.0,0.0,0.0,0.062460508024769365,0.06203075822203836,0.0,0.0,0.1148435698362672,0.0,0.05394055254070054,0.0,0.03705929385163041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.016349906399720785,0.009495520673140847,0.0,0.0,0.11391883540479297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15169886742171884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097104746784139,0.23748925193465176,0.0,0.0,0.0,0.0,0.0,0.010052912747439665,0.013567740971128308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19492711850448818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04663573085846868,0.0,0.0,0.0,0.0,0.0
